번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어,Unnamed: 7
419,1,2017,정면,단어,KETI_SL_0000000419.MP4,화재,
838,1,2017,측면,단어,KETI_SL_0000000838.MP4,화재,
1255,2,2017,정면,단어,KETI_SL_0000001255.MP4,화재,
1674,2,2017,측면,단어,KETI_SL_0000001674.MP4,화재,
2032,3,2017,정면,단어,KETI_SL_0000002032.MP4,화재,
2451,3,2017,측면,단어,KETI_SL_0000002451.MP4,화재,
2932,4,2017,정면,단어,KETI_SL_0000002932.MP4,화재,
3351,4,2017,측면,단어,KETI_SL_0000003351.MP4,화재,
3760,5,2017,정면,단어,KETI_SL_0000003760.MP4,화재,
4178,5,2017,측면,단어,KETI_SL_0000004178.MP4,화재,
4607,6,2017,정면,단어,KETI_SL_0000004607.MP4,화재,
5026,6,2017,측면,단어,KETI_SL_0000005026.MP4,화재,
5445,7,2017,정면,단어,KETI_SL_0000005445.MP4,화재,
5862,7,2017,측면,단어,KETI_SL_0000005862.MP4,화재,
6284,8,2017,정면,단어,KETI_SL_0000006284.MP4,화재,
6703,8,2017,측면,단어,KETI_SL_0000006703.MP4,화재,
7123,9,2017,정면,단어,KETI_SL_0000007123.MP4,화재,
7542,9,2017,측면,단어,KETI_SL_0000007542.MP4,화재,
7961,10,2017,정면,단어,KETI_SL_0000007961.MP4,화재,
8380,10,2017,측면,단어,KETI_SL_0000008380.MP4,화재,
418,1,2017,정면,단어,KETI_SL_0000000418.MP4,화장실,
837,1,2017,측면,단어,KETI_SL_0000000837.MP4,화장실,
1254,2,2017,정면,단어,KETI_SL_0000001254.MP4,화장실,
1673,2,2017,측면,단어,KETI_SL_0000001673.MP4,화장실,
2031,3,2017,정면,단어,KETI_SL_0000002031.MP4,화장실,
2450,3,2017,측면,단어,KETI_SL_0000002450.MP4,화장실,
2931,4,2017,정면,단어,KETI_SL_0000002931.MP4,화장실,
3350,4,2017,측면,단어,KETI_SL_0000003350.MP4,화장실,
3759,5,2017,정면,단어,KETI_SL_0000003759.MP4,화장실,
4177,5,2017,측면,단어,KETI_SL_0000004177.MP4,화장실,
4606,6,2017,정면,단어,KETI_SL_0000004606.MP4,화장실,
5025,6,2017,측면,단어,KETI_SL_0000005025.MP4,화장실,
5444,7,2017,정면,단어,KETI_SL_0000005444.MP4,화장실,
5861,7,2017,측면,단어,KETI_SL_0000005861.MP4,화장실,
6283,8,2017,정면,단어,KETI_SL_0000006283.MP4,화장실,
6702,8,2017,측면,단어,KETI_SL_0000006702.MP4,화장실,
7122,9,2017,정면,단어,KETI_SL_0000007122.MP4,화장실,
7541,9,2017,측면,단어,KETI_SL_0000007541.MP4,화장실,
7960,10,2017,정면,단어,KETI_SL_0000007960.MP4,화장실,
8379,10,2017,측면,단어,KETI_SL_0000008379.MP4,화장실,
417,1,2017,정면,단어,KETI_SL_0000000417.MP4,화요일,
836,1,2017,측면,단어,KETI_SL_0000000836.MP4,화요일,
1253,2,2017,정면,단어,KETI_SL_0000001253.MP4,화요일,
1672,2,2017,측면,단어,KETI_SL_0000001672.MP4,화요일,
2030,3,2017,정면,단어,KETI_SL_0000002030.MP4,화요일,
2449,3,2017,측면,단어,KETI_SL_0000002449.MP4,화요일,
2930,4,2017,정면,단어,KETI_SL_0000002930.MP4,화요일,
3349,4,2017,측면,단어,KETI_SL_0000003349.MP4,화요일,
3758,5,2017,정면,단어,KETI_SL_0000003758.MP4,화요일,
4176,5,2017,측면,단어,KETI_SL_0000004176.MP4,화요일,
4605,6,2017,정면,단어,KETI_SL_0000004605.MP4,화요일,
5024,6,2017,측면,단어,KETI_SL_0000005024.MP4,화요일,
5443,7,2017,정면,단어,KETI_SL_0000005443.MP4,화요일,
5860,7,2017,측면,단어,KETI_SL_0000005860.MP4,화요일,
6282,8,2017,정면,단어,KETI_SL_0000006282.MP4,화요일,
6701,8,2017,측면,단어,KETI_SL_0000006701.MP4,화요일,
7121,9,2017,정면,단어,KETI_SL_0000007121.MP4,화요일,
7540,9,2017,측면,단어,KETI_SL_0000007540.MP4,화요일,
7959,10,2017,정면,단어,KETI_SL_0000007959.MP4,화요일,
8378,10,2017,측면,단어,KETI_SL_0000008378.MP4,화요일,
416,1,2017,정면,단어,KETI_SL_0000000416.MP4,화약,
835,1,2017,측면,단어,KETI_SL_0000000835.MP4,화약,
1252,2,2017,정면,단어,KETI_SL_0000001252.MP4,화약,
1671,2,2017,측면,단어,KETI_SL_0000001671.MP4,화약,
2029,3,2017,정면,단어,KETI_SL_0000002029.MP4,화약,
2448,3,2017,측면,단어,KETI_SL_0000002448.MP4,화약,
2929,4,2017,정면,단어,KETI_SL_0000002929.MP4,화약,
3348,4,2017,측면,단어,KETI_SL_0000003348.MP4,화약,
3757,5,2017,정면,단어,KETI_SL_0000003757.MP4,화약,
4175,5,2017,측면,단어,KETI_SL_0000004175.MP4,화약,
4604,6,2017,정면,단어,KETI_SL_0000004604.MP4,화약,
5023,6,2017,측면,단어,KETI_SL_0000005023.MP4,화약,
5442,7,2017,정면,단어,KETI_SL_0000005442.MP4,화약,
5859,7,2017,측면,단어,KETI_SL_0000005859.MP4,화약,
6281,8,2017,정면,단어,KETI_SL_0000006281.MP4,화약,
6700,8,2017,측면,단어,KETI_SL_0000006700.MP4,화약,
7120,9,2017,정면,단어,KETI_SL_0000007120.MP4,화약,
7539,9,2017,측면,단어,KETI_SL_0000007539.MP4,화약,
7958,10,2017,정면,단어,KETI_SL_0000007958.MP4,화약,
8377,10,2017,측면,단어,KETI_SL_0000008377.MP4,화약,
8404,1,2017,정면,문장,KETI_SL_0000008404.MP4,화상을 입었어요,
8509,1,2017,측면,문장,KETI_SL_0000008509.MP4,화상을 입었어요,
8614,2,2017,정면,문장,KETI_SL_0000008614.MP4,화상을 입었어요,
8719,2,2017,측면,문장,KETI_SL_0000008719.MP4,화상을 입었어요,
8824,3,2017,정면,문장,KETI_SL_0000008824.MP4,화상을 입었어요,
8929,3,2017,측면,문장,KETI_SL_0000008929.MP4,화상을 입었어요,
9034,4,2017,정면,문장,KETI_SL_0000009034.MP4,화상을 입었어요,
9139,4,2017,측면,문장,KETI_SL_0000009139.MP4,화상을 입었어요,
9244,5,2017,정면,문장,KETI_SL_0000009244.MP4,화상을 입었어요,
9349,5,2017,측면,문장,KETI_SL_0000009349.MP4,화상을 입었어요,
9454,6,2017,정면,문장,KETI_SL_0000009454.MP4,화상을 입었어요,
9558,6,2017,측면,문장,KETI_SL_0000009558.MP4,화상을 입었어요,
9664,7,2017,정면,문장,KETI_SL_0000009664.MP4,화상을 입었어요,
9769,7,2017,측면,문장,KETI_SL_0000009769.MP4,화상을 입었어요,
9874,8,2017,정면,문장,KETI_SL_0000009874.MP4,화상을 입었어요,
9979,8,2017,측면,문장,KETI_SL_0000009979.MP4,화상을 입었어요,
10084,9,2017,정면,문장,KETI_SL_0000010084.MP4,화상을 입었어요,
10189,9,2017,측면,문장,KETI_SL_0000010189.MP4,화상을 입었어요,
10294,10,2017,정면,문장,KETI_SL_0000010294.MP4,화상을 입었어요,
10399,10,2017,측면,문장,KETI_SL_0000010399.MP4,화상을 입었어요,
415,1,2017,정면,단어,KETI_SL_0000000415.MP4,화상,
834,1,2017,측면,단어,KETI_SL_0000000834.MP4,화상,
1251,2,2017,정면,단어,KETI_SL_0000001251.MP4,화상,
1670,2,2017,측면,단어,KETI_SL_0000001670.MP4,화상,
2028,3,2017,정면,단어,KETI_SL_0000002028.MP4,화상,
2447,3,2017,측면,단어,KETI_SL_0000002447.MP4,화상,
2928,4,2017,정면,단어,KETI_SL_0000002928.MP4,화상,
3347,4,2017,측면,단어,KETI_SL_0000003347.MP4,화상,
3756,5,2017,정면,단어,KETI_SL_0000003756.MP4,화상,
4174,5,2017,측면,단어,KETI_SL_0000004174.MP4,화상,
4603,6,2017,정면,단어,KETI_SL_0000004603.MP4,화상,
5022,6,2017,측면,단어,KETI_SL_0000005022.MP4,화상,
5441,7,2017,정면,단어,KETI_SL_0000005441.MP4,화상,
5858,7,2017,측면,단어,KETI_SL_0000005858.MP4,화상,
